"","monthly.returns","monthly.returns.1","monthly.returns.2","monthly.returns.3","monthly.returns.4","monthly.returns.5","monthly.returns.6","monthly.returns.7","monthly.returns.8"
"5",0.0212164098192336,0.0231928600722995,0.0103242981213216,0.0209549524948387,-0.00085102775706325,0.00130975015358747,0.0239248049625753,0.0230003254385145,0.00354743480682429
"6",0.0279779005317329,0.0392359444635915,0.051094064986466,0.0354979857333664,0.00290473798807112,-0.00121394158376997,0.0301807815709041,0.0385906784013599,2.99927455049698e-06
"7",-0.000292175957222529,0.0216698999882181,0.0314123588077164,-0.0238829756247603,-0.00223039204773301,-0.00129976603745852,-0.0053742284880679,0.0145395162270894,1.24969398140884e-06
"8",0.0330220904803975,0.0297632603381586,0.0260646602931298,0.0562582677318773,0.0156749579650752,0.00534150914651499,0.0309685798500596,0.0273885091297992,0.0060301408315877
"9",-0.012314972371411,-0.014240568663379,-0.0249024633251407,-0.0220611053333103,0.0123982958591327,0.00364019939929272,-0.00383751365014973,-0.0117792749929583,0.0048250843268669
"10",-0.0183901099670407,-0.0192596884590263,-0.0150382282912033,-0.0121073993059622,-0.00445186785255147,-4.74929952694048e-05,-0.0197490311932161,-0.0232120330097759,-0.00128964225160755
"11",-0.0221376754068436,-0.0269234877030087,-0.0388146234579471,-0.0237778632979805,0.0168663569166607,0.00286091114831089,-0.0256270037414696,-0.00963390110590634,0.00458641950934013
"12",-0.0466666722649411,-0.0728827289773467,-0.0899913255611988,-0.0875489500881284,0.0152048553429251,0.00344708011206873,-0.0528820158557063,-0.0486381275736019,-0.000115948314898806
"13",-0.0596139412239567,-0.0864829885120145,-0.127011449648525,-0.108082914204838,0.00770581935245995,-0.00101587850907237,-0.069540584384136,-0.069529657262133,-0.00222422296994207
"14",0.0986442600497062,0.133466697234282,0.155744458388899,0.0962746547940496,0.0012649163283589,0.000343158528659515,0.087088482502935,0.0882783865453765,0.00223770316159855
"15",0.00482264388487352,-0.00235271492499711,-0.0124555492772616,-0.0217640177312082,-0.00330776315281944,0.00044964722873897,-0.0129354340310761,-0.0020195396388254,-0.00258440952366989
"16",0.0159803970586476,0.00817721483414036,0.00959187641964765,-0.0217494462516444,0.0135671226876479,0.000520987590834077,0.0107917362072456,0.00731322158209458,0.00259641868428107
"17",0.0458741018212145,0.0705813603626302,0.0683934565677813,0.0526953535041339,0.00725626309812544,0.000828402421172658,0.0495182155864489,0.0458799787351711,0.00683351620780459
"18",0.0373094600124453,0.0377357859314658,0.0399954655282257,0.048331425956001,-0.000135392191518591,-0.00140763490379503,0.0364458521796587,0.0559787733798938,0
"19",0.0376522550551064,0.0222656635321352,0.0201864229006397,0.00420782858678881,-0.00572944069293069,-0.000770290348239056,0.0190317582473996,0.0238394079582309,0.000937663434761316
"20",-0.0109794739720905,-0.00228145793673984,-0.0109762539022118,-0.0207688086984542,0.00905968047931349,0.00201683668455166,-0.00901381946912572,-0.00612750386692928,0.00211115961540576
"21",-0.0538664947405936,-0.0673526195932009,-0.0733113131843678,-0.111441896402286,0.0107818723148274,0.000568584619060175,-0.0537606072515353,-0.0709001049724109,-0.000233428327558682
